date,KD,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2018-01-01,590601000,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0,639033000.0,639033000.0,501777000.0,580662000.0,569076000.0,575328000.0
2018-02-01,573558000,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0,639033000.0,639033000.0,501777000.0,580662000.0,569076000.0
2018-03-01,575424000,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0,639033000.0,639033000.0,501777000.0,580662000.0
2018-04-01,607317000,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0,639033000.0,639033000.0,501777000.0
2018-05-01,625842000,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0,639033000.0,639033000.0
2018-06-01,579528000,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0,639033000.0
2018-07-01,719814000,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0,708198000.0
2018-08-01,750468000,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0,705111000.0
2018-09-01,726006000,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0,648702000.0
2018-10-01,779754000,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0,722199000.0
2018-11-01,849108000,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0,746553000.0
2018-12-01,990498000,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0,784317000.0
2019-01-01,679398000,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0,590601000.0
2019-02-01,584679000,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0,573558000.0
2019-03-01,594684000,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0,575424000.0
2019-04-01,619608000,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0,607317000.0
2019-05-01,732495000,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0,625842000.0
2019-06-01,565170000,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0,579528000.0
2019-07-01,714831000,565170000.0,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0,719814000.0
2019-08-01,828789000,714831000.0,565170000.0,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0,750468000.0
2019-09-01,831702000,828789000.0,714831000.0,565170000.0,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0,726006000.0
2019-10-01,815811000,831702000.0,828789000.0,714831000.0,565170000.0,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0,779754000.0
2019-11-01,797385000,815811000.0,831702000.0,828789000.0,714831000.0,565170000.0,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0,849108000.0
2019-12-01,801546000,797385000.0,815811000.0,831702000.0,828789000.0,714831000.0,565170000.0,732495000.0,619608000.0,594684000.0,584679000.0,679398000.0,990498000.0
